id,belongs_to_collection,budget,homepage,originally_english,overview,produced_in_us,release_date,revenue,runtime,english,tagline,title,vote_average,keywords,cast,crew,red,green,blue,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,Amblin Entertainment,Canal+,Columbia Pictures,Columbia Pictures Corporation,Dimension Films,DreamWorks SKG,Dune Entertainment,Fox 2000 Pictures,Fox Searchlight Pictures,Lionsgate,Metro-Goldwyn-Mayer (MGM),Miramax Films,New Line Cinema,Paramount Pictures,Regency Enterprises,Relativity Media,StudioCanal,Summit Entertainment,Touchstone Pictures,TriStar Pictures,Twentieth Century Fox Film Corporation,United Artists,Universal Pictures,Village Roadshow Pictures,Walt Disney Pictures,Warner Bros.,Working Title Films
24,2,30000000,1,1,"An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle – but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.",1,731498,180949000.0,111.0,1,Go for the kill.,Kill Bill: Vol. 1,7.7,"['japan', 'coma', 'martial arts', 'kung fu', 'underworld', 'yakuza', 'sword', 'bride', 'revenge', 'gore', 'female yakuza', 'blood', 'wedding', 'samurai sword', 'part animation']","['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox']","['Quentin Tarantino', 'Robert Richardson', 'Sally Menke']",254,226,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,72000000,0,1,"Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use.",1,732254,96889998.0,125.0,1,Welcome to the suck.,Jarhead,6.6,"['sniper', 'marine corps', 'saudi arabia', 'petrol', 'golf war', 'u.s. marine']","['Jamie Foxx', 'Jake Gyllenhaal', 'Scott MacDonald']","['Thomas Newman', 'Sam Mendes', 'Bobby Cohen']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,0,1000000,0,1,"Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs.",0,731778,1574623.0,66.0,1,"2 lovers, one summer, and the 9 songs that defined them.",9 Songs,5.1,"['london england', 'female nudity', 'sex', 'rock and roll', 'blow job', 'condom', 'safe sex', 'concert', 'erection', 'fellatio', 'pubic hair', 'sexual fantasy', 'penetration', 'sexual intercourse', 'ejaculation', 'unsimulated sex', 'couple', 'desire', 'semen', 'vulva', 'male orgasm', 'penis', 'explicit sex']","[""Kieran O'Brien"", 'Margo Stilley', 'Courtney Taylor-Taylor']","['Michael Winterbottom', 'Andrew Eaton', 'Marcel Zyskind']",199,67,44,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,31500000,1,1,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",1,722676,89460381.0,153.0,1,This is the end...,Apocalypse Now,8.0,"['guerrilla', 'river', 'vietnam', 'vietcong', 'cambodia', 'army', 'insanity', 'tribe', 'green beret', 'jungle', 'apocalypse', 'death', 'napalm']","['Martin Sheen', 'Marlon Brando', 'Robert Duvall']","['Francis Ford Coppola', 'John Milius', 'Gray Frederickson']",1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,0,14000000,0,1,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",1,727417,159157447.0,131.0,1,Some legends will never be forgotten. Some wrongs can never be forgiven.,Unforgiven,7.7,"['prostitute', 'sheriff', 'bounty', 'regret', 'right and justice', 'revenge', 'mutilation', 'one last job', 'reputation', 'englishman']","['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman']","['Clint Eastwood', 'Lennie Niehaus', 'Julian Ludwig']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,0,75000000,1,1,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",1,732882,527068851.0,87.0,1,See our family. And feel better about yours.,The Simpsons Movie,6.9,"['father son relationship', 'lake', 'springfield', 'the simpsons', 'duff beer', 'garbage', 'pig', 'pollution', 'environmental protection agency', 'quarantine', 'alcoholism', 'love', 'alaska', 'dysfunctional family', 'dysfunctional marriage', 'ecology', 'saving lives', 'first love', 'duringcreditsstinger', 'donuts']","['Dan Castellaneta', 'Julie Kavner', 'Nancy Cartwright']","['David Silverman', 'Matt Groening', 'James L. Brooks']",1,177,234,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,0,20000000,1,1,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",1,731659,72258126.0,108.0,1,You can erase someone from your mind. Getting them out of your heart is another story.,Eternal Sunshine of the Spotless Mind,7.9,"['deja vu', 'regret', 'jealousy', 'amnesia', 'dream', 'operation', 'relationship problems', 'love', 'memory', 'brainwashing', 'relationship', 'heartbreak', 'nonlinear timeline', 'love story', 'bittersweet']","['Jim Carrey', 'Kate Winslet', 'Kirsten Dunst']","['Michel Gondry', 'Pierre Bismuth', 'Jon Brion']",255,255,255,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,2000000,0,0,Three different people in Mexico City are catapulted into dramatic and unforeseen circumstances in the wake of a terrible car crash: a young punk stumbles into the sinister underground world of dog fighting; an injured supermodel's designer pooch disappears into the apartment's floorboards; and an ex-radical turned hit man rescues a gunshot Rotweiler.,0,730287,20908467.0,154.0,0,Love. Betrayal. Death.,Amores perros,7.6,"['homeless person', 'mexico city', 'daughter', 'secret love', 'dogfight', 'money', 'dog', 'nonlinear timeline', 'multiple storylines', 'new mexican cinema']","['Gael García Bernal', 'Vanessa Bauche', 'Goya Toledo']","['Alejandro González Iñárritu', 'Guillermo Arriaga', 'Rodrigo Prieto']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,5,200000000,1,1,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",1,732482,1065659812.0,151.0,1,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7.0,"['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']","['Dariusz Wolski', 'Gore Verbinski', 'Jerry Bruckheimer']",0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,0,32000000,0,1,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,1,732212,60740827.0,96.0,1,Tom Stall had the perfect life... until he became a hero.,A History of Violence,6.9,"['robbery', 'double life', 'dual identity', 'small town', 'indiana', 'distrust', 'fight', 'self-defense', 'marriage', 'family relationships', 'mistaken identity', 'diner', 'lawyer', 'mobster', 'violence', 'attempted robbery']","['Viggo Mortensen', 'Maria Bello', 'Heidi Hayes']","['David Cronenberg', 'Chris Bender', 'Josh Olson']",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2,10500000,0,1,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",1,718532,68700000.0,149.0,1,An epic drama of adventure and exploration,2001: A Space Odyssey,7.9,"['moon', 'jupiter', 'artificial intelligence', 'man vs machine', 'technology', 'super computer', 'human being', 'space travel', 'space mission', 'moon base', 'astronaut', 'evolution', 'monolith', 'space station']","['Keir Dullea', 'Gary Lockwood', 'William Sylvester']","['Stanley Kubrick', 'Geoffrey Unsworth', 'Ray Lovejoy']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,29500000,0,1,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",1,728656,168840000.0,129.0,1,The future is history.,Twelve Monkeys,7.4,"['schizophrenia', 'philadelphia', 'cassandra syndrom', 'stockholm syndrome', 'time travel', 'post-apocalyptic', 'dystopia', 'lethal virus', 'monkey', 'subterranean']","['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt']","['Terry Gilliam', 'David Webb Peoples', 'Janet Peoples']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,0,9285469,0,0,Two men share an odd friendship while they care for two women who are both in deep comas.,0,730923,51001550.0,112.0,0,0,Talk to Her,7.5,"['suicide', 'spain', 'rape', 'coma', 'bullfight', 'torera', 'journalist', 'sexual abuse', 'dying and death', 'theatre milieu', 'friendship', 'car crash', 'hospital', 'pregnancy']","['Leonor Watling', 'Rosario Flores', 'Javier Cámara']","['Agustín Almodóvar', 'Pedro Almodóvar', 'Michel Ruben']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,41000000,1,1,"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.",1,731162,215000000.0,110.0,1,Every moment is another chance.,8 Mile,6.8,"['individual', 'street gang', 'adolescence', 'rap music', 'hip-hop', 'rhyme battle', 'trailer park', 'ethnic stereotype', 'single', 'detroit', 'eminem']","['Eminem', 'Mekhi Phifer', 'Brittany Murphy']","['Curtis Hanson', 'Scott Silver', 'Rodrigo Prieto']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,50000000,0,1,A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.,1,729069,50068310.0,121.0,1,Corrupts Absolutely.,Absolute Power,6.4,"['corruption', 'assassination', 'washington d.c.', 'rape', 'white house', 'usa president', 'daughter', 'government', 'suspense', 'secret service', 'secret service agent']","['Clint Eastwood', 'Gene Hackman', 'Ed Harris']","['Clint Eastwood', 'William Goldman', 'David Baldacci']",7,7,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,28000000,0,1,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",1,732202,186438883.0,136.0,1,Love is a burning thing.,Walk the Line,7.3,"['germany', 'prison', 'music record', 'adultery', 'country music', 'guitar', 'loss of brother', 'concert', 'marriage', 'single', 'accident', '1960s']","['Joaquin Phoenix', 'Reese Witherspoon', 'Ginnifer Goodwin']","['James Mangold', 'Gill Dennis', 'James Keach']",250,230,177,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,30000000,1,1,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",1,731930,216763646.0,132.0,1,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",Million Dollar Baby,7.7,"['transporter', 'suicide attempt', 'strong woman', 'boxer', 'dying and death', 'stroke of fate', 'training', 'advancement', 'sport', 'female protagonist', 'boxing trainer', 'determination']","['Clint Eastwood', 'Hilary Swank', 'Morgan Freeman']","['Clint Eastwood', 'Lennie Niehaus', 'Henry Bumstead']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,0,5000000,0,1,"Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!",0,730258,110000000.0,110.0,1,Inside every one of us is a special talent waiting to come out. The trick is finding it.,Billy Elliot,7.4,"[""workers' quarter"", 'dancing class', 'strike', 'northern england', 'scholarship', 'ballet']","['Jamie Bell', 'Julie Walters', 'Jean Heywood']","['Greg Brenman', 'Jonathan Finn', 'Charles Brand']",167,219,232,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
73,0,20000000,1,1,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",1,729692,23875127.0,119.0,1,Some Legacies Must End.,American History X,8.2,"['usa', 'neo-nazi', 'prison', 'skinhead', 'brother brother relationship', 'rape', 'fascism', 'brother', 'basketball', 'jail', 'school', 'swastika', 'los angeles', 'family', 'hate', 'neo nazism', 'xenophobia', 'interracial friendship', 'nazism', 'prison rape']","['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo""]","['Steve Tisch', 'Gerald B. Greenberg', 'Tony Kaye']",6,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,132000000,0,1,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",1,732125,591739379.0,116.0,1,They're already here.,War of the Worlds,6.2,"['post traumatic stress  disorder', 'new jersey', 'airplane', 'dystopia', 'daughter', 'apocalypse', 'alien invasion', 'human subjugation']","['Tom Cruise', 'Dakota Fanning', 'Miranda Otto']","['John Williams', 'Debra Zane', 'Steven Spielberg']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,70000000,1,1,"'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.",1,729005,101371017.0,106.0,1,Nice planet. We'll take it!,Mars Attacks!,6.1,"['saving the world', 'total destruction', 'white house', 'mars', 'usa president', 'cataclysm', 'lasergun', 'ambassador', 'congress', 'pest', 'flying saucer']","['Jack Nicholson', 'Glenn Close', 'Annette Bening']","['Tim Burton', 'Laurie Parker', 'Larry J. Franco']",255,255,255,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
